Category,Domain
Internet_and_Telecom/Search_Engine,google.fr
Internet_and_Telecom/Social_Network,facebook.com
Arts_and_Entertainment/TV_and_Video,youtube.com
Internet_and_Telecom/Search_Engine,google.com
News_and_Media,yahoo.com
Internet_and_Telecom/Telecommunications,orange.fr
Internet_and_Telecom/Email,live.com
Shopping/Classifieds,leboncoin.fr
News_and_Media,msn.com
Reference/Dictionaries_and_Encyclopedias,wikipedia.org
Internet_and_Telecom,free.fr
Shopping/General_Merchandise,amazon.fr
Internet_and_Telecom/Search_Engine,bing.com
Internet_and_Telecom/File_Sharing,cpasbien.pw
Internet_and_Telecom/Social_Network,twitter.com
Internet_and_Telecom/Telecommunications,sfr.fr
Career_and_Education/Jobs_and_Employment,pole-emploi.fr
Finance,labanquepostale.fr
Adult,xhamster.com
Arts_and_Entertainment/Movies,zone-telechargement.com
Finance/Banking,credit-agricole.fr
Adult,xvideos.com
Shopping,aliexpress.com
Adult,pornhub.com
Shopping/Consumer_Electronics,cdiscount.com
News_and_Media/Technology_News,commentcamarche.net
Internet_and_Telecom/Social_Network,instagram.com
Shopping,ebay.fr
Games,gameforge.com
Internet_and_Telecom/Ad_Network,adxcore.com
Internet_and_Telecom/Chats_and_Forums,streaming-illimite.net
Business_and_Industry/Real_Estate,caf.fr
Adult,youporn.com
Internet_and_Telecom/Search_Engine,ask.com
Business_and_Industry/Transportation_and_Logistics,laposte.net
News_and_Media/Newspapers,lemonde.fr
Arts_and_Entertainment/TV_and_Video,maxiwebtv.com
News_and_Media,lefigaro.fr
Computer_and_Electronics/Software,microsoft.com
Reference,pagesjaunes.fr
,methode-finance.com
News_and_Media/Sports_News,lequipe.fr
Internet_and_Telecom/Social_Network,linkedin.com
,t411.io
Internet_and_Telecom/Ad_Network,adcash.com
Law_and_Government/Government,impots.gouv.fr
Arts_and_Entertainment/Movies,allocine.fr
Games/Video_Games,jeuxvideo.com
Travel/Accommodation_and_Hotels,booking.com
Adult,xnxx.com
Arts_and_Entertainment,dl-protect.com
Internet_and_Telecom/Ad_Network,onclickads.net
Arts_and_Entertainment/TV_and_Video,dailymotion.com
Arts_and_Entertainment/TV_and_Video,programme-tv.net
Finance/Banking,caisse-epargne.fr
Autos_and_Vehicles/Car_Buying,jesusclicks.com
People_and_Society/Relationships_and_Dating,badoo.com
Travel/Tourism,voyages-sncf.com
News_and_Media/Technology_News,01net.com
Arts_and_Entertainment,soonnight.com
Internet_and_Telecom/Search_Engine,delta-homes.com
Computer_and_Electronics/Software,mozilla.org
News_and_Media,news.google.fr
Internet_and_Telecom/Social_Network,tumblr.com
Travel/Tourism,woozgo.fr
Adult,tukif.com
News_and_Media/Weather,meteofrance.com
Internet_and_Telecom/Search_Engine,webssearches.com
News_and_Media,linternaute.com
Arts_and_Entertainment/TV_and_Video,papystreaming.com
Adult,redtube.com
Computer_and_Electronics/Software,adobe.com
News_and_Media/Newspapers,20minutes.fr
Shopping,vente-privee.com
Finance/Banking,creditmutuel.fr
News_and_Media,news.yahoo.com
Arts_and_Entertainment,mes-meilleurs-films.fr
,news-cm.info
Finance/Banking,societegenerale.fr
,howtotipz.com
Internet_and_Telecom/Social_Network,skyrock.com
Reference/Maps,mappy.com
Finance/Banking,bnpparibas.net
Shopping/Clothing,laredoute.fr
Arts_and_Entertainment/Music_and_Audio,youtube-mp3.org
Finance/Insurance,ameli.fr
Arts_and_Entertainment/TV_and_Video,tf1.fr
Internet_and_Telecom/Email,gmail.com
Arts_and_Entertainment,dpstream.net
Internet_and_Telecom/Social_Network,pinterest.com
Internet_and_Telecom/Telecommunications,bouyguestelecom.fr
Shopping/Classifieds,priceminister.com
Finance/Financial_Management,lcl.fr
Business_and_Industry,laposte.fr
Internet_and_Telecom,wordpress.com
Finance/Financial_Management,paypal.com
Arts_and_Entertainment/Music_and_Audio,deezer.com
Games/Video_Games,twitch.tv
Internet_and_Telecom,uptobox.com
Internet_and_Telecom/File_Sharing,youwatch.org
